AccX,AccY,AccZ,GyrX,GyrY,GyrZ,Time
-2.83,0.91,11.27,0.19,-0.12,-0.15,1721200927989
-2.46,1.16,4.02,-0.0,0.1,0.09,1721200927999
0.11,-6.2,9.22,-0.05,-0.1,0.2,1721200928009
0.97,1.93,14.17,0.05,0.05,-0.09,1721200928019
0.62,2.9,8.77,0.09,-0.03,-0.14,1721200928029
-3.12,1.63,9.79,0.06,0.05,-0.1,1721200928039
-1.85,-2.93,9.32,0.05,0.11,-0.02,1721200928049
0.93,-0.55,9.42,0.02,0.03,0.18,1721200928059
1.35,5.93,12.92,0.14,-0.01,0.1,1721200928069
4.56,0.71,10.51,0.04,0.1,-0.06,1721200928079
1.41,5.13,12.05,0.19,-0.07,-0.34,1721200928089
-2.49,-0.75,-1.32,0.07,-0.1,-0.14,1721200928099
-4.44,-4.04,15.74,-0.23,0.36,-0.07,1721200928109
-1.47,0.97,9.72,0.22,-0.09,0.25,1721200928119
1.28,1.8,8.73,-0.09,0.23,0.11,1721200928129
2.83,6.82,17.61,0.17,0.08,-0.03,1721200928139
0.77,5.56,6.24,0.09,-0.01,-0.08,1721200928149
-0.99,-3.47,13.92,-0.19,0.21,-0.24,1721200928159
-1.82,-4.11,9.31,0.08,-0.04,-0.06,1721200928169
-1.93,3.33,7.06,0.13,0.13,0.12,1721200928179
2.7,-1.2,10.28,-0.12,0.19,0.05,1721200928189
0.92,9.48,14.88,0.41,-0.14,-0.11,1721200928199
2.74,1.11,2.75,-0.05,0.05,-0.2,1721200928209
-2.1,-5.12,18.09,-0.35,-0.08,-0.22,1721200928219
-3.23,0.73,13.08,0.15,-0.06,-0.17,1721200928229
0.09,0.4,5.38,-0.03,0.14,-0.07,1721200928239
-0.01,-7.8,3.45,-0.24,-0.12,0.01,1721200928249
-2.66,3.93,8.32,-0.04,0.02,-0.09,1721200928259
1.6,-0.85,7.02,-0.1,0.25,-0.41,1721200928269
0.8,-4.87,18.16,-0.27,0.22,-0.24,1721200928279
-2.43,2.73,6.76,0.14,-0.0,-0.16,1721200928289
-2.54,-5.25,10.6,-0.55,0.3,-0.2,1721200928299
-2.28,5.7,19.93,0.16,-0.07,0.03,1721200928309
1.71,-2.41,2.0,-0.08,0.15,0.02,1721200928319
-0.8,2.31,17.22,-0.04,0.09,-0.18,1721200928329
-1.65,2.95,6.17,0.18,-0.09,-0.15,1721200928339
-0.89,5.21,4.35,-0.04,0.2,-0.14,1721200928349
0.76,-3.5,16.11,-0.18,0.07,-0.11,1721200928359
-2.51,2.92,14.2,0.21,-0.23,0.08,1721200928369
-1.31,-4.85,0.53,-0.16,0.03,0.05,1721200928379
-1.42,2.89,21.42,0.04,-0.06,-0.01,1721200928389
0.13,5.96,7.17,0.46,-0.13,-0.05,1721200928399
-1.03,-2.68,-0.21,-0.04,-0.07,-0.16,1721200928409
-2.47,0.75,15.94,0.09,0.12,-0.11,1721200928419
0.84,-1.23,9.51,0.09,-0.05,0.09,1721200928429
-3.08,-0.17,4.95,-0.0,-0.29,-0.04,1721200928439
-1.11,1.49,12.04,0.04,0.22,0.02,1721200928449
0.56,-3.25,4.57,0.1,-0.12,0.05,1721200928459
-0.96,-3.8,12.8,-0.22,0.19,-0.06,1721200928469
-0.6,3.43,13.19,0.17,0.07,-0.03,1721200928479
0.74,4.46,13.07,0.1,0.21,-0.12,1721200928489
0.23,0.57,9.05,0.1,-0.1,0.27,1721200928499
-0.78,-2.02,5.05,-0.14,-0.25,0.2,1721200928509
1.85,3.83,16.18,0.12,0.05,-0.13,1721200928519
1.25,-0.33,7.08,-0.01,-0.11,-0.24,1721200928529
-5.84,2.8,12.54,-0.03,-0.19,-0.24,1721200928539
-4.51,0.17,5.59,0.01,0.03,0.18,1721200928549
1.83,-1.41,17.25,-0.06,0.35,0.28,1721200928559
2.34,6.01,10.88,0.28,-0.08,-0.03,1721200928569
0.53,2.18,1.51,-0.28,-0.1,-0.17,1721200928579
-2.04,5.9,22.97,0.11,-0.17,0.06,1721200928589
1.7,0.32,3.05,0.28,0.02,0.13,1721200928599
0.17,-7.43,5.49,-0.52,-0.07,-0.08,1721200928609
-5.41,7.91,20.57,0.07,-0.29,-0.13,1721200928619
-0.48,7.33,2.55,0.06,0.13,0.19,1721200928629
2.39,1.36,12.74,-0.1,0.06,0.15,1721200928639
1.36,-10.01,4.49,-0.24,-0.39,-0.11,1721200928649
-5.85,6.06,15.34,0.07,-0.16,-0.27,1721200928659
-1.22,1.2,3.3,0.06,0.0,0.11,1721200928669
-1.78,-5.64,14.85,-0.29,-0.1,0.16,1721200928679
0.33,0.03,7.61,0.13,-0.21,0.36,1721200928689
5.07,3.03,9.45,-0.15,0.2,0.01,1721200928699
3.28,2.02,15.5,-0.05,-0.29,-0.09,1721200928709
-1.91,-0.98,7.75,-0.09,-0.22,-0.2,1721200928719
-2.71,-5.66,15.6,-0.24,0.0,-0.06,1721200928729
-1.22,2.46,8.45,0.24,-0.17,0.32,1721200928739
3.43,1.5,6.38,-0.17,0.27,-0.03,1721200928749
1.55,1.16,18.89,0.03,-0.26,-0.16,1721200928759
-0.93,-4.44,9.46,-0.08,-0.18,-0.03,1721200928769
-0.93,4.08,12.02,0.05,0.05,-0.12,1721200928779
0.8,-2.5,3.33,-0.01,-0.16,-0.1,1721200928789
-1.37,-2.63,17.09,-0.18,0.15,-0.05,1721200928799
-1.13,6.0,7.93,0.26,-0.12,0.26,1721200928809
2.45,2.02,5.44,-0.15,0.22,0.23,1721200928819
4.4,1.99,18.17,0.06,0.04,-0.4,1721200928829
-0.13,-0.07,7.6,0.0,-0.29,-0.37,1721200928839
-5.3,5.38,11.56,-0.04,0.03,-0.16,1721200928849
-4.14,-2.82,6.31,-0.05,-0.07,0.01,1721200928859
-1.42,-4.37,13.19,-0.03,0.03,0.19,1721200928869
2.32,3.93,9.02,0.06,0.01,0.24,1721200928879
1.33,6.58,6.27,0.03,-0.03,-0.16,1721200928889
2.3,3.95,20.51,0.18,0.22,-0.23,1721200928899
3.61,-1.16,3.56,0.28,-0.17,-0.09,1721200928909
1.51,0.11,14.42,0.07,0.21,-0.19,1721200928919
0.86,0.22,8.55,0.31,-0.03,-0.33,1721200928929
0.08,1.47,9.74,-0.06,0.06,-0.15,1721200928939
0.38,0.51,13.25,0.29,-0.04,-0.4,1721200928949
1.41,-7.04,2.65,0.0,0.07,-0.24,1721200928959
-1.29,0.46,17.76,0.05,0.18,-0.34,1721200928969
-4.73,12.23,7.95,0.4,-0.12,-0.38,1721200928979
-1.87,-3.95,3.29,-0.05,0.12,-0.08,1721200928989
3.12,-9.54,12.91,-0.27,0.15,0.16,1721200928999
4.13,3.17,16.72,0.24,0.06,-0.17,1721200929009
4.49,3.28,2.06,-0.03,0.3,-0.77,1721200929019
-6.56,1.41,13.25,-0.18,-0.25,-0.61,1721200929029
-7.17,-0.59,20.85,0.19,0.1,-0.17,1721200929039
-4.5,-5.12,-3.14,0.13,-0.02,0.15,1721200929049
0.84,2.55,10.67,-0.25,0.67,0.09,1721200929059
4.38,0.57,16.96,-0.11,0.06,-0.32,1721200929069
0.22,-0.16,18.52,-0.11,-0.07,-0.46,1721200929079
-4.58,-0.28,5.28,0.23,-0.03,-0.29,1721200929089
-3.66,-4.58,7.0,-0.24,0.45,-0.03,1721200929099
0.11,5.07,20.32,0.15,0.18,0.24,1721200929109
2.81,2.0,2.89,0.14,0.02,0.05,1721200929119
0.51,-3.42,10.62,-0.25,0.1,-0.52,1721200929129
-2.85,-1.62,11.95,0.09,-0.06,-0.15,1721200929139
-2.92,0.56,5.33,-0.08,0.23,-0.12,1721200929149
-0.05,-4.39,18.26,-0.25,0.21,0.08,1721200929159
-3.23,3.48,10.5,0.09,-0.22,-0.08,1721200929169
-0.74,3.76,7.24,0.05,0.46,-0.14,1721200929179
1.43,-7.86,12.44,-0.12,0.01,0.05,1721200929189
-0.82,2.52,11.42,0.14,-0.13,0.28,1721200929199
4.72,4.15,17.29,-0.11,0.53,-0.23,1721200929209
-0.63,8.87,15.78,0.38,-0.34,-0.18,1721200929219
-4.58,-7.08,-0.08,-0.16,-0.08,-0.04,1721200929229
-3.54,-5.55,10.36,0.02,-0.1,0.22,1721200929239
1.15,0.2,1.36,-0.04,0.11,0.12,1721200929249
3.93,-1.9,18.79,-0.25,0.32,-0.19,1721200929259
-0.6,6.41,14.4,0.28,-0.05,-0.31,1721200929269
-3.57,4.1,4.46,0.01,0.26,-0.08,1721200929279
-1.05,2.09,14.53,-0.02,0.15,0.16,1721200929289
2.35,6.84,15.42,0.19,-0.15,0.26,1721200929299
0.79,-4.79,-0.38,-0.14,-0.43,0.12,1721200929309
-3.41,1.59,11.59,0.06,0.15,-0.24,1721200929319
2.1,0.12,9.45,-0.03,0.13,-0.01,1721200929329
-2.98,9.23,17.42,0.13,-0.25,-0.05,1721200929339
-1.89,-1.47,-3.41,0.12,-0.12,-0.01,1721200929349
1.06,-2.17,7.49,-0.3,0.27,-0.04,1721200929359
1.27,2.94,20.54,0.17,0.1,-0.08,1721200929369
1.73,4.07,12.28,0.06,0.02,-0.01,1721200929379
-1.43,2.38,11.03,0.11,-0.31,-0.07,1721200929389
-2.36,4.96,11.92,0.12,-0.01,-0.02,1721200929399
-0.58,-0.16,2.88,0.12,-0.24,0.09,1721200929409
-1.73,-0.38,10.23,-0.11,0.05,0.03,1721200929419
-2.05,-0.28,2.82,0.11,-0.23,0.05,1721200929429
-0.4,0.2,6.8,-0.11,0.26,0.18,1721200929439
3.11,4.98,20.12,0.13,0.07,0.03,1721200929449
1.53,-0.8,1.07,-0.03,-0.34,0.0,1721200929459
-2.16,-3.75,18.2,-0.31,0.12,-0.19,1721200929469
-4.14,4.57,11.06,0.25,-0.15,0.09,1721200929479
0.78,-0.21,14.09,-0.16,0.2,0.24,1721200929489
1.07,-7.54,4.26,0.02,-0.51,0.43,1721200929499
1.31,0.8,5.78,-0.19,0.13,0.08,1721200929509
3.69,7.13,23.69,0.09,0.11,-0.24,1721200929519
-0.45,-0.63,4.03,0.11,-0.41,-0.11,1721200929529
0.39,-4.5,11.45,-0.34,0.22,0.19,1721200929539
2.23,3.04,15.11,0.13,-0.0,-0.16,1721200929549
-0.46,3.47,5.68,0.03,-0.11,-0.04,1721200929559
-1.42,1.68,6.71,-0.2,0.0,-0.05,1721200929569
2.22,-1.89,18.16,0.04,0.03,-0.24,1721200929579
1.57,1.71,8.26,0.03,0.01,-0.24,1721200929589
-2.52,0.72,11.11,-0.16,-0.15,-0.1,1721200929599
-2.09,4.73,11.44,0.11,0.22,-0.1,1721200929609
1.86,-5.96,6.15,-0.03,0.17,-0.14,1721200929619
-0.71,1.13,17.55,0.01,-0.05,0.15,1721200929629
0.48,3.04,10.04,0.08,-0.09,0.11,1721200929639
3.67,4.07,13.07,0.14,0.14,-0.16,1721200929649
3.11,-4.88,4.33,0.0,-0.02,-0.45,1721200929659
-3.7,-3.73,7.54,-0.02,-0.19,-0.16,1721200929669
-3.79,3.98,11.68,0.24,-0.15,0.16,1721200929684
-0.46,-1.12,10.89,0.08,-0.1,0.28,1721200929688
2.2,6.98,10.61,0.1,0.26,0.16,1721200929698
5.56,-0.41,11.13,-0.0,0.13,-0.37,1721200929708
-1.08,0.72,11.91,0.09,-0.13,-0.55,1721200929718
-4.04,-0.45,8.85,0.12,0.16,-0.35,1721200929728
-2.77,-1.27,7.41,0.04,0.09,0.15,1721200929738
-0.11,1.92,11.98,0.05,0.06,0.07,1721200929748
3.17,2.74,11.43,0.15,0.19,-0.26,1721200929758
1.15,0.52,0.14,0.03,-0.06,-0.44,1721200929768
-4.77,-0.01,14.2,-0.19,0.35,-0.4,1721200929778
-5.08,6.37,17.92,0.21,0.17,-0.05,1721200929788
1.53,2.63,11.41,-0.0,0.23,0.29,1721200929798
4.18,1.39,3.68,0.09,0.03,-0.02,1721200929808
3.71,0.74,7.88,-0.19,0.19,-0.39,1721200929818
0.54,6.2,18.45,0.12,0.14,-0.55,1721200929828
-3.08,1.3,3.53,0.09,0.08,-0.39,1721200929838
-4.2,-2.09,10.6,-0.17,0.37,-0.08,1721200929848
-0.56,0.74,12.6,0.2,0.13,0.1,1721200929858
4.06,1.63,11.93,-0.12,0.38,-0.07,1721200929868
0.5,8.23,10.55,0.25,-0.26,-0.24,1721200929878
-0.78,-6.61,2.87,-0.26,0.18,-0.45,1721200929888
-4.64,-3.62,15.56,-0.09,-0.01,-0.39,1721200929898
-3.18,3.83,4.52,0.15,0.18,-0.15,1721200929908
-1.58,1.59,11.5,-0.17,0.3,-0.11,1721200929918
-1.89,-5.83,11.64,0.08,-0.0,-0.16,1721200929928
